ID,Title,Category,link,Story
2091,"Give back to the world, donate groceries for the upliftment of mentally challenged children",Children,https://www.donatekart.com/Children/donate-grocery," Sunil Satpute, though not challenged, was born in extreme poverty. With an alcoholic father, and a mother who worked in domestic help to support her kids, huts and open sewage pipes was a norm for Sunil. But it was up to him to prove himself, with a college degree and joined an NGO to work towards the education of street children. He then took up social work full time. Determined that no child goes through the same, Sunil decided to give back to the world. He learned that the state of the education and living conditions of the mentally and physically challenged is quite disheartening. Most of them are a burden and a disappointment to their parents. With their potential wasting away, they grow up without the essential help to develop skills as not many agee to invest time and money, especially for the autistic and mentally incapable. Sunil then took it upon himself to provide the necessary care and treatment these challenged children require, and he was successful in his mission. Sunil Satpute founded Gharkul to take care of the educational and vocational needs of differently-abled children from Mumbai’s slums, who would otherwise spend their lives within the four walls of their homes. Gharkul is based in Santacruz. With a special curriculum, and vocation, special needs, and requirements, classrooms are rented to provide lessons to children with down's syndrome, learning difficulties, and special needs. But as Gharkul grew, people became aware, more and more children started coming in. Funding was running out, and additional staff was required to take care of the home. Therapists, special educators, clinical psychologists and more need to be hired. With proper help and care, these children and young adults can acquire skills and make something of themselves. Groceries and meals are a big part of Gharkul and due to insufficient funding, there's not enough for everyone. They need proper nutrition along with education to grow mentally and physically. Won't you lend a hand?Donate groceries, help challenged children grow up with the necessary education and help. Note: Donations made towards this fundraiser in INR on and after 29th September 2020 are eligible for Indian Tax Exemption."
2095,"Help the elderly age with grace, donate adult diapers",Elderly,https://www.donatekart.com/Elderly/adult-diaper," Most of us are very fond of our grandparents. Once young, they are now old and grey but full of wisdom. They need assistance with routine work, and we help them because they're family. But some elderly don't age with assistance. In old age, when your body doesn't support you anymore, it's difficult to do everyday tasks. Going to the bathroom can be a challenge for some. And while everyone deserves to age with grace, some of these elderly have to deal with embarrassment on a daily basis. They defecate in their undergarments or pass urine in their sleep. It's needless suffering and shame they have to deal with. These senior citizens raised us, they did their part, they should be resting and enjoying this time. With your help, these senior citizens can get their independence back. They can spend their final days with dignity. Donate an adult diaper, help the elderly live their last years with pride and peace.Beneficiary NGOs: Om Ashram Trust(Bangalore): Omashram Trust-Old Age Care, is a charitable trust founded in the year 2001 with the objective of providing care to the elderly. Omashram provides residential care with full boarding &amp; lodging facility to the old with medical care nursing care to the old, belonging mostly to poor &amp; middle-class individuals (above 60 years of age) of all denominations.Where is OmAshram Trust located?OmAshram Trust is located in Bangalore. Their address is #767, 3rd Cross, 11th Main, Vijaya Bank Layout, Bilekahalii, Bannerghatta Road. Second Chance trust: Second Chance Trust is a registered NGO in Hyderabad. Their aim is to serve the destitute, homeless, needy and poor with love, personal care, dignity and respect.The Second Chance Trust has rescued more than 500 people till date and is currently accommodating 150 housemates across three centers in Hyderabad namely- Yapral (Head office), Cherlapally and Ghatkesar. Where is Second Chance Trust located? The Second Chance Trust is located in Hyderabad. Their address is 5-12-42/3, Indra Nagar, Near Football Ground, Yapral, Hyderabad, Telangana, 500087. Davo:DAVO is an award-winning, registered Non-Governmental Organisation (NGO) set up in 1985 by Dev Giri Goswami, in New Delhi. Over the last 25 years, DAVO has grown into a highly regarded, comprehensive development project supported by a wide range of organizations including the Government of IndiaWhere is DAVO located?Davo is located in Delhi. Their address is plot no.1, Hari Vihar, Metro Pillar No. 811, Near Dwarka Mode Metro Station.Earth Saviours: The Earth Saviours Foundation is a very well-renowned NGO started in 2008 by Ravi Kalra. It is registered under 80G of Income Tax Exemption Act and FCRA license from The Ministry of Home Affairs, Government of India. Where is The Earth Saviors Foundation located?The shelter home where people are rescued and brought is located in Bandhwari village in Gurgaon. This is on the Faridabad Road near TERI golf course. "
2132,"Donate a walking stick, donate vision to a visually challenged person ",Specially-Abled,https://www.donatekart.com/Specially-Abled/walking-stick," What is your worst nightmare? An injury? A fall? Complete darkness? Ever been to a place so dark you can't make out anything? For some people, it's reality. Each one of us has tried to imagine what it's like to be visually challenged. But we can never come close to it. To eliminate color, sights, written characters, or any visual from our lives, would be devastating. But for some, it isn't a choice. A congenital disability, an accident, has left them visually challenged for life. Every routine task, every step a visually challenged person takes, is a struggle. They could trip, run into a vehicle, or gravely injure themselves. A visually challenged person is dependent on someone to show them the way, which leaves them feeling like a burden on their loved ones.A simple walking stick is a boon for the visually challenged. It can guide them, make them aware of steps, or any obstacle in the way. A commodity like this one is sometimes not readily available for them. It's either not sold where some visually challenged folks live or too expensive. Which is an unfair reason for them to suffer. Life has been cruel enough, taking away their sight. Help be their eyes, donate a walking stick. A visually challenged person will be grateful for your donation, and be able to go on with his/her life. Beneficiary NGO:1. The Saksham Trust : Saksham Trust was established in 2003 under the leadership of Mr. Dipendra Manocha and Ms. Rummi K. Seth, with the sole purpose of empowering persons with visually challengedness. It plays a key role in advocacy and act as a service provider in the field of rehabilitation, education, training and assistive technology. In addition to a school for children with visual impairment and multiple disabilities, it runs a distribution center of assistive aids and appliances for education, mobility and independent living.Where is it located:486, Double Storey, Double Storey II, New Rajinder Nagar, New Delhi, Delhi 1100602. Devnar School for Visually Challenged: ‘Devnar’ is a combination of two words DEV (God) and NAR (Man), highlighting the fact that there is God in every man. If the entire humanity is the family of God, the visually challenged children are special members in it. And so, they should be given every possible opportunity to develop their potentialities and latent talents. Devnar Foundation tries to unleash the incredible capacity of students by giving them value based education thus enabling them to realize that within them can be found the skill, knowledge and motivation to make something special happen.Where is it located:Devnar School for Visually Challenged. Mayuri Marg. Begumpet. Hyderabad - 5000263. Abhisti welfare Society: The vision of Abhisti Welfare Society is a happy and healthy person whose rights are protected and honored in a society that is built on respect for dignity, justice and equity for all. Their mission is to enable the people to take responsibility for the situation of the deprived and so motivate them to seek resolution through individual and collective action thereby enabling to realize their full potential.Where is it located: Door Number : 1-29/5 , Peerzadiguda Gramapanchayath,Peerzadiguda , Uppal,Hyderabad,Telangana,500039,India.4. Global Association for Visually Challenged Handicapped and Destitute Trust: This institution is working for rehabilitation of handicapped persons who is economically backward and similarly neglected and frustrated by the society. This institution gives financial help to many handicapped persons and made them self-reliant. It helps in many other ways for example.Where is it located: 2, Diamonds Housing Society, M.H.B. Colony. Pathanwadi Marg. Malad (E). Mumbai - 400 097. India5. Ambubai Residential School of Visually Challenged Girls: Dattu Agarwal, visually challenged since the age of 3 and a retired professor started the Ambubai Residential School for Visually Challenged Girls in Gulbarga in 2007. He founded the school in the memory of his mother, Ambu Bai. They have 75 students currently studying there. He’s trying to build a new safer, challenged friendly building in order to provide the students a better facility. Where is it located:House No. 4-282 Maktampura, Kalaburagi, Karnataka, India. 585101Note: Donations made towards this fundraiser in INR on and after 29th September 2020 are eligible for Indian Tax Exemption."
2136,"Help Dr. Uday Modi build a nursing home for the elderly, donate construction material.",Elderly,https://www.donatekart.com/Elderly/Help-Modi," All of us love our grandparents. We love spending time with them; grandma makes us yummy food, and grandpa tells us stories of his time. They're old and full of wisdom to share with their families. But unfortunately, many elderly don't have families to rely on. They don't have money to buy food, nobody to take care of them. Since, in this age, it's difficult to hold a job, sources of revenues are scarce. With old age comes health complications. During a time where they need love, care, and nutrition, they face hunger, health problems, and worse. Should they go on living like this? They've done their time for the nation, for their families, it's their turn to live their final years peacefully. But sadly, they're left helpless. A doctor, saving lives every day, saw the horrific situation of some of these elderly and decided to change things for the better. Dr. Uday Modi noticed their living conditions and decided to start providing meals to needy elderly. After receiving an overwhelming response, the meals grew to tiffin services, especially for the diabetic. Today, he feeds about 500 elderly daily. Even with help from friends, volunteers, and more, the bills stack up to lakhs a month. But this will not stop him, except it only motivated him to do more. The next step in his plan is to build a nursing home. A reliable and convenient solution to provide care and nutrition to these poor grandparents. Here, they'll receive proper square meals, attention from medical staff, and will be surrounded by people to socialize and spend their days with ease. But this will need a lot of funds and a lot of construction material. We urge you to help the needy elderly, who've spent their years for us and would appreciate a helping hand in return. Donate construction material and help Dr. Uday Modi build a nursing home. Beneficiary NGO:1. Sharavan Tiffin Service - The tiffin service started by Mr. Uday Modi, named ‘Sharavan Tiffin Seva’ started small, over a decade ago. He named it after Sharavan Kumar, a figure in Hindu mythology, known for his undying devotion to his parents. Through this service, today he feeds over 500 senior citizens. Now, he is building an old-age home for these elderly people where they can live out the rest of their days in peace.Where is it located?Maa bap nu Mandir. Near : sant Anthony's chepal margali talav. Uttan Bhayander west.Note: Donations towards this fundraiser are not eligible for any tax deduction such as 80G, 501(c) etc."
2150,This Women's Day Celebrate Womanhood by donating sanitary pads to tribal girls,Women,https://www.donatekart.com/Women/sanitary-hygiene,"28% of Girls miss school during periods, To tackle this problem, last year, more than 2 lakh sanitary pads were distributed in two phases in government schools across Maharashtra. Here are the names of some of those schools -ZP School Maljipada (Naigaon), ZP School Rajavali (Naigaon), ZP School Kolhi (Bhiwandi Road), ZP School Chinchoti (Bhiwandi Road), ZP School (Kaman) and ZP School- Urdu Medium (Kaman). Child Help Foundation teams also conducted advocacy sessions on menstrual hygiene.There has been an increase in the attendance rates of teenage girls in these schools since pads were given to them. This year, we are hoping to even more raise sanitary pads to be able to reach more girls across the state. Please support us in this campaign and help us in keeping more girls in school. Through our Sanitation Support Programmes, CHF has facilitated the construction of separate toilets for boys and girls in government schools across India. We noticed a significant increase in enrollment rates. However, this was not enough, considering the sheer magnitude of poverty in India, ensuring an adequate supply of sanitary pads was equally important. Donatekart helped CHF in raising sanitary napkins. Also, Happy Nari by collaborating with CHF has set up Sanitary Napkin Vending Machine for tribal teenage girls and women in the predominantly tribal areas of Jawhar Taluka, Maharashtra.About Child Help Foundation:Child Help Foundation is a national Non-profit organisation dedicated to helping neglected and needy children. They work towards projects like - basic education for children, healthcare, intervention etc. They also actively help in disaster rescue and relief operations across the country. Where is it located?403/ 404, Sai Arpan, Joggers Park Rd, near P.G. Vora school, Mumbai , Maharashtra 401107, Joggers Park Road, Mumbai, Maharashtra, 401107, India"
2181,Join Jasper Paul On His Journey To Give Them A Second Chance!,Elderly,https://www.donatekart.com/Elderly/TSCT-CoronRelief,"Second chances, you don’t get them that often. And, if you did, trust me you’re blessed. Jasper Paul, at the age of nineteen, was a victim of a near-fatal crash. In the crash, his car somersaulted thrice but miraculously Jasper came out without a scratch. This miraculous escape inspired Jasper to do something of his life. Two months down Jasper saw a woman near a railway station. She had many injuries and they were covered in maggots and ants. He couldn’t leave without doing anything. He immediately admitted her into a hospital. The video went viral and the parents of the old woman came to take her back home.“It was then that I realized that there is nothing else that I’d want to do in life than this.”, says Jasper Paul. He saw the plight of the abandoned and the ones who despite their vulnerable age were left on the road to suffer. Jasper Paul formed The Second Chance Trust for all those who left in horrendous conditions. Old people who were left without food and without anyone to care for them on the road. During the course of his work, 23-year-old Jasper has seen several deaths. Even though they’re nearing death, Jasper ensures that they’re taken care of in their home. “Many of them have died in my arms, and for many, I have conducted their last rites too,”says Jasper PaulJasper and his team were once transporting a lady in her last stages to hospital and because it was a personal vehicle without a siren. Unfortunately, she passed away before the vehicle reached the hospital. If they had an ambulance, Jasper could’ve rescued more people and maybe save more lives. After working with several NGOs across the city, Jasper set up his own shelter home, ‘Second Chance’, in March 2017. Jasper has around 12 staff working with him, including a nurse and other trained non-clinical staff.Jasper brought the dying, the destitute, the needy, the sick and the ones that nobody wanted to the home. At Second Chance, these people who nobody ever cared for were given love, food, clothing, medication, safety, comfort and a place that they could call their own. These rescues and the emergency hospital runs requires an ambulance. Jasper rescues people who’re dying and for them each second counts. An ambulance can help them save them and give them a better treatment. If they have an ambulance, they can have basic facilities like oxygen, a first aid kit and a stretcher to easily rescue the abandoned. As part of their project ‘Be A Blessing’, they provide food supplies and basic health care to the poor and the vulnerable living in the remote and tribal areas, the areas that are unreached. There are many inmates in Second Chance’s old age homes. Jasper has been striving to provide a better life for them for the last 6 years. He needs your help to provide them with basic necessities like mattresses, pillows, etc.“Love is the greatest of them all” is a saying they all believe in at The Second Chance homes. It takes an amazing amount of courage to go out there and bring change. Help Jasper on his journey to give the dying a second chance. Together, we can give them hope. Where is The Second Chance Trust located?5-12-42/3, Indra Nagar, Near Football Ground, Yapral, Hyderabad, Telangana, 500087Note: Donations made towards this fundraiser in INR on and after 29th September 2020are eligible for Indian Tax Exemption."
2193,Please help Seva Kitchen feed less privileged people during the Corona crisis.,Hunger,https://www.donatekart.com/Hunger/Help-seva-kitchen,"The Corona outbreak has left people locked in their homes. The safety measures are required to stop the spread of this deadly virus. However, thousands of people across the country are daily wage workers who do not have their daily wages. They cannot afford to feed themselves and their families. SEVA Kitchen has been working for years to tackle hunger. In Nagpur, they have received special permission from Nagpur Municipal Corporation. They are responsibly working towards providing food to people during the Corona crisis. They need your help to feed thousands of individuals who come from marginalized communities. People who come from marginalized communities can hardly afford a square meal per day when they go to work. With the lockdown in place, many domesticated helpers, daily wage labourers, construction workers and people from the slums have no food to eat. The severe shortage of food has made it impossible for anyone to buy any supplies. You can help by donating towards their daily needs. "
2195,Help us feed stray animals post COVID - 19,Animals,https://www.donatekart.com/Animals/Help-Animal,"The Corona virus has locked people inside their homes, caused the death of thousands of individuals and is now hurting animals. These furry four-legged creatures are suffering as the lockdown has left them wandering on the streets for food. Since the Janta Curfew, many animals have been starving for days. Hundreds of them scouting for tidbits of food here and there. Stray animals are seen wandering around the streets of India. They’re reliant on the scraps given by the public such as passersby, restaurants, and so on. Amidst the lockdown, hundreds of cafes, restaurants, bakeries, shops, and establishments have been shut down. These stays already live in horrendous conditions and the lockdown is starving them to death. The strays often relied on people who’ve kindly left out water in bowls. Without any source of food and water, these animals are suffering. After a directive issued by Maneka Gandhi that the stray animals can be fed. AMTM has made a strategic plan to feed the animals. Our NGO,Animals Matter To Me (AMTM) have decided to start supplying dog and cat food to animals across Mumbai. We made four teams, many strays have not got any food for nearly 48 hours. Ganesh Nayak, Founder of AMTMDue to the risk of Corona, AMTM will be taking several precautions to execute the drive. They plan on making four AMTM teams for the Mumbai region. To avoid the risk of getting infected, they’ll conduct midnight operations. The staff and volunteers will hire 4 to 8 ambulances to conduct the drive. They’ll also conduct food, water and healthcare checks. Keeping the safety of the staff and volunteers in mind, AMTM will be responsibly conducting the drive at wee hours. Corona virus can be fatal if the stray animals aren’t fed as it can raise several issues that can elevate the problem. AMTM will be operating on alternative days to cover all the respective regions in Mumbai to ensure that all the stray animals get food. For the animals, they’re looking for dog food, cat food, food bowls and water bowls. They are looking for donations to provide the volunteers and employees with face masks, sanitizers, and first aid kits. This initiative is to protect the volunteers who’re going out of their way to help feed these stray animals. You can help feed many stray animals from the comfort of your own home. Help feed these animals so they can withstand the crisis until things go back to normal. Together, we can do it. With Covid19 lashing it out at us in and out with out much support. Our work for the inhouse cases continue like before. Cases of cruelty keep going up and we are battling for support. With covid19 many losing losing their jobs or businesses going down number of donors have decreased too. With your support we are able to feed approx 285 plus animals on daily basis which are our in-house rescues and feeding of strays continues on streets of marwe. Not to forget our clinic too is kept open to help strays but as per bmc norms and appointments. Your support will go a long way for our speechless buddies in need.Donate to help feed these stray animals. Don’t let them starve. Note: Donations made towards this fundraiser in INR on and after 29th September 2020 are eligible for Indian Tax Exemption."
2222,Save Cows By Donating To This Gaushala,Animals,https://www.donatekart.com/Animals/SSS-CoronaSupport," We rely on our Gau Mata, the humble cow, to provide us with nutritious milk. We ensure that our children drink their milk and are healthy from it. We make sweets that are tasty, rich and flavorful with their milk. But today, because of the Corona crisis, our Gau Mata is suffering. The Corona lockdown has hurt the lives of so many innocent humans and animals.Dharam Raj Ranka Jain built a huge Goshala in Hyderabad to save these humble cows from being turned into meat. He fought this atrocity by helping these docile animals with shelter and fodder. What started out as a small effort with 200 cows to save these docile creatures is now home to thousands of cows. Satyam Dietym Sundaram Gau Niwas, the largest cow shelter in Southern India is home to almost 6000 cows. Mr. Dharam says, “Let us return the cow its rightful place culturally, religiously and economically.” In this Gosahala, the cows aren’t there to be milked or tortured. They enjoy a calm and carefree life. The Goshala has over 100 members in its Staff and 2 veterinarians to help with any medical issues. With the lockdown in place, no donors are coming forward to help feed these cows. The donors who used to donate fodder aren’t around. Mr. Dharam and his staff have trouble feeding these cows. He needs your help to feed his animals and overcome this painful crisis. You can help these innocent creatures by donating fodder. They’ve been given a second chance at life and they do not deserve to spend these days in starvation. Give these animals a way to overcome the crisis by donating fodder. About The NGO:Satyam Dietym Sundaram - Satyam Dietym Sundaram Gau Niwas is a shelter for rescued cows, founded by Mr. Dharam Raj Ranka, a city jeweller from Hyderabad. Since 1991, it has been his mission to protect cows from illegal slaughter houses, and he has rescued and rehabilitated over 5000 cows, in his shelter so far. This cow shelter aims to provide a happy life to the rescued cows. They are well looked after, given due medical attention and fodder. The shelter even has a working staff of over 100 people &amp; 2 resident veterinarians to look after these innocent animals.Note: Donations made towards this fundraiser in INR on and after 29th September 2020 are eligible for Indian Tax Exemption."
2350,Help Laxmi Narayan Tripathi On Her Journey To Build A Better World.,Transgender,https://www.donatekart.com/Transgender/Help-Kineer,"The Corona virus pandemic, and consequent lockdowns around the world have changed the fabric of our lives in diverse ways, and we are seeing these narratives in the communities, especially the Transgender community. Amidst the lockdown, the transgender community has been facing battles of survival on various fronts. With postponements and cancellations of various weddings, ceremonies and a ban on public gathers has hit this community hard. The common population at least has families to support them and to be with them in these tough times. But, for the transgender community, they’re shunted and humiliated on various occasions. India’s transgender community suffers amid the crisis more than anyone else because of lack of social acceptance. Shelter, food, money, access to information and basic safety measures though may seem essential but are not within the reach of all citizens, especially for the transgender community. Like a light at the end of a tunnel, Laxmi Narayan Tripathi emerged as an activitist and worked towards making lives better for the Transgender community. This community is not only marginalized and vulnerable but they’re also stigmatized. The only support and shelter they have are one another. Additionally they are concerned about practical issues such as not having a ration card, and other documents. There is panic and fear around not being able to avail government schemes. “Transgender community do not have the social honor of operating within a distant ‘online’ world when their lives are precariously balanced on the thread of social interaction and functions,” said Laxmi Narayan Tripathi, a transgender rights activist Laxmi Narayan Tripathi, the first transgender person to represent Asia Pacific in the UN in 2008 faced several challenges in her journey. Laxmi has done some tremendously great work for the LGBT community. Born into an orthodox Brahmin family, being a transgender could’ve been the worst thing that could’ve happened to her. But, she bore all the stigma and the insults the world could throw and grew into an amazing person. She has supported the transgender community through various social campaigns and has become the most influential transgender activist in the country. She works with numerous NGOs, including the Astitva Trust, the Asia Pacific Transgender Network and Maharashtra Trithiya Panthi Sangatana, to promote the equality of transgender individuals. She is the subject of two books, Me Hijra, Me Laxmi (written by R. Raj Rao) and Red Lipstick: The Men in My Life (written by Pooja Pande).The plight of the Transgender community is not hidden from anyone but still no action has been taken towards providing a sustainable employment/ income source for them. They are left with a choice to either beg on the roads or to indulge in flesh trade. Laxmi, through her initiative Kineer Services aims to provide employment opportunities, education, consultation and help to this vulnerable community. Today, as she has been for the larger part of her life, she’s fighting to provide for the transgender community. She’s striving to provide quality food so that this neglected community can survive the crisis. As we all stay at our homes, hoping for the crisis to pass. Let’s give back to the ones who are neglected, the ones who are not accepted and to the ones who’ve been hit the hardest. Your contribution is not a donation, it’s an investment. An investment in making the lives of the transgenders better. An investment in helping the vulnerable survive. Invest now, to support this vulnerable community. About Kineer Services pvt Ltd. - We at Kineer believe that our community has gaps where the Hijras can fit perfectly. For example at India it is considered unsafe for a girl/ lady to travel by a cab/taxi alone. Our question is why the cabs of the leading taxi service companies can’t be operated by the members of the third gender. This would not only eradicate the concern of safety for women travellers but would also provide a dignified employment opportunity for the Hijra.The following initiatives are run by Kineer -Kineer Packaged drinking water plants;Kineer Cosmetics and washroom amenities range;Kineer Education platform;Kineer National Cricket league;Kineer manpower Placement and Diversity inclusion platformNote: Donations towards this fundraiser are not eligible for any tax deduction such as 80G, 501(c) etc."
